,original,gpt,manual,Preguntas_manual
172,"Cuando fatigados de vuestras continuas ocupaciones, busqueis algun recreo en las riberas apacibles del Manzanares, y acompañados de vuestros tiernos hijos salgais por esta puerta, deteneos y decirles: ""alli está conservada nuestra santa Constitucion; aquel es nuestro pacto social,' el arca de nuestra alianza, el venturoso fruto de seis años de sangrienta guerra y de otros seis de calamidades no menores.","Cuando estéis cansados de vuestro trabajo constante, buscad un descanso en las tranquilas orillas del río Manzanares. Y cuando salgáis de casa con vuestros queridos hijos, pararos y decirles: ""ahí está guardada nuestra importante Constitución; es nuestro acuerdo social, el símbolo de nuestra unión, el valioso resultado de seis años de guerra sangrienta y otros seis años de grandes desastres.","Cuando estéis cansados de vuestro trabajo constante, buscad un descanso en las tranquilas orillas del río Manzanares. Y cuando salgáis por esta puerta con vuestros queridos hijos, pararos y decirles: ""ahí está guardada nuestra santa Constitución; es nuestro acuerdo social, el símbolo de nuestra unión, el valioso resultado de seis años de guerra sangrienta y otros seis años de grandes desastres.","
1. ¿Cuando estéis cansados de vuestro trabajo constante, buscad un descanso en las tranquilas orillas del río Manzanares?
2. ¿Cuando salgáis por esta puerta con vuestros queridos hijos, pararos y decirles: ""ahí está guardada nuestra santa Constitución; es nuestro acuerdo social, el símbolo de nuestra unión, el valioso resultado de seis años de guerra sangrienta y otros seis años de grandes desastres""?"
173,"Empiezan y seguirán en el segundo tomo por via de Apendice, algunos escritos del autor, que aunque hechos sin este cuidado, podrán servir de modelos para mejorar el estilo forense, y aun el que los tenga suyos ó agenos convenientes al mismo intento, hará muy bien en publicarlos para que la abundancia de buenos exemplares excite la emulacion y facilite la reforma, que se necesita.","En el segundo tomo, se incluirán algunos escritos del autor como anexo. Estos escritos, aunque no fueron hechos con este propósito, pueden servir como ejemplos para mejorar el estilo forense. Incluso aquellos que tengan escritos propios o ajenos que sean adecuados para este propósito, harían muy bien en publicarlos. De esta manera, la abundancia de buenos ejemplos estimulará la emulación y facilitará la reforma que se necesita.","En el segundo tomo, se incluirán algunos escritos del autor como anexo. Estos escritos, aunque no fueron hechos con este propósito, pueden servir como ejemplos para mejorar el estilo forense. Incluso aquellos que tengan escritos propios o ajenos que sean adecuados para este propósito, harían muy bien en publicarlos. De esta manera, la abundancia de buenos ejemplos estimulará la emulación y facilitará la reforma que se necesita.","
1. ¿Cómo se puede estimular la necesidad de reforma en el estilo forense?
2. ¿Cómo se puede estimular la utilidad de incluir anexos de escritos del autor en un texto forense?"
174,"El día 11 del pasado se perdió una cedula registrada de 13 arrobas de vino, ya despachada en la Aduana; la persona que la hubiere encontrado la entregará en la taberna de la calle del Soldado, frente de la fuentecilla, donde darán el hallazgo.","El día 11 del mes pasado se perdió un documento oficial de 13 barriles de vino, que ya había sido despachado en la Aduana. La persona que lo haya encontrado deberá entregarlo en la taberna de la calle del Soldado, frente a la pequeña fuente, donde se recompensará el hallazgo.","El día 11 del mes pasado se perdió un documento oficial por una cantidad de 13 arrobas de vino, que ya había sido aprobado en la Aduana. La persona que lo haya encontrado deberá entregarlo en la taberna de la calle del Soldado, frente a la pequeña fuente, donde se recompensará el hallazgo.","
1. ¿En qué día se perdió el documento oficial?
2. ¿Donde deberá entregarlo el persona que lo haya encontrado?"
175,"El Kalendario ó Almanak rusticó, no es otra cosa que un repertorio y apuntamiento en que están colocadas las principales faenas de la labranza, distribuyendolas por las estaciones del año, y sus doce meses; y gobernandolas por las lunaciones.","El Kalendario o Almanak rústico es un libro que contiene información sobre las tareas agrícolas organizadas por estaciones y meses del año, basándose en las fases de la luna.","El Calendario o Almanaque rústico es un libro que contiene información sobre las tareas agrícolas organizadas por estaciones y meses del año, basándose en las fases de la luna.","
1. ¿Cuál es la función del Calendario o Almanaque rústico en la agricultura?
2. ¿Cómo se organizan las tareas agrícolas según las fases de la luna en el Calendario o Almanaque rústico?"
176,"A voluntad de sus dueños, y con la mayor equidad, se vende una casa, sita en el Real sitio de Aranjuez, y su calle del Eoso, frente á la huerta del Secano, la que se compone de dos pisos, cuadras con pesebreras, cocheras, pozo y pila: para tratar de ajuste se acudirá á la tienda de cirujano de D. Antonio Moreno, calle de S. Márcos, núm 2.","Se vende una casa en el Real sitio de Aranjuez, en la calle del Eoso, frente a la huerta del Secano. La casa tiene dos pisos, cuadras con pesebreras, cocheras, pozo y pila. Para tratar de ajuste, se debe ir a la tienda de cirujano de D. Antonio Moreno, en la calle de S. Márcos, número 2. Los dueños están dispuestos a vender la casa de manera justa.","Se vende una casa en el Real sitio de Aranjuez, en la calle del Eoso, frente a la huerta del Secano. La casa tiene dos pisos, cuadras con lugar para dar de comer a los animales, cocheras, pozo y pila. Para tratar la venta, se debe ir a la tienda de cirujano de D. Antonio Moreno, en la calle de S. Márcos, número 2. Los dueños están dispuestos a vender la casa a precio ajustado.","
1. ¿En qué calle se encuentra la casa en el Real sitio de Aranjuez?
2. ¿Cuántos pisos tiene la casa en el Real sitio de Aranjuez?"
177,"Quando todavia no se sabia bien el poder que tenían los metales para conducir la electricidad; esto es, en tiempo en que este ramo de fisica estaba por decirlo asi en la cuna, escribió Bayle sospechando la influencia del sonido de las campanas en los nublados.","En una época en la que aún no se conocía completamente la capacidad de los metales para conducir la electricidad, Bayle escribió sobre la posible influencia del sonido de las campanas en los días nublados.","En una época en la que aún no se conocía completamente la capacidad de los metales para conducir la electricidad, Bayle escribió sobre la posible influencia del sonido de las campanas en los días nublados.","
1. ¿En qué época se escribió el texto sobre la influencia del sonido de las campanas en los días nublados?
2. ¿Qué escribió Bayle sobre la influencia del sonido de las campanas en los días nublados?"
178,"Agora es de pro que á la tierra labrada se cubra de estiercol, su suelo abrigando, E allende ha de ararse su abono aumentando, Si al dalle la reja la admite, y agrada.","Ahora es necesario que la tierra cultivada se cubra de fertilizante, para proteger su suelo. Además, es necesario ararla para aumentar su abono. Si el arado permite y gusta.","Ahora es necesario que la tierra cultivada se cubra de fertilizante, para proteger su suelo. Además, es necesario ararla para aumentar su abono si se puede.","
1. ¿Es necesario cubrir la tierra cultivada de fertilizante para proteger su suelo?
2. ¿Es necesario arar la tierra cultivada para aumentar su abono si se puede?"
179,"Todos aquellos Sacerdotes, ó Druidas, sacaban luego una gran ganancia de esta ceremonia; porque aquel muerdago, ó liga le desleian en mucha porciomide agua, la qual persuadian al Pueblo ignoran e que era agua lustral, buena y eficaz contra sortilegios, y graves enfermedades, y asi la vendían á un precio excesivo, y los supersticiosos que tenian mas fé con ella la llevaban consigo siempre, ó la tenian en sus casas en pilas de donde beberla.","Todos los sacerdotes o druidas obtenían beneficios económicos de esta ceremonia. El muérdago o liga era sumergido en una gran cantidad de agua, la cual convencían al pueblo ignorante de que era agua purificadora, buena y efectiva contra hechizos y enfermedades graves. Por lo tanto, la vendían a un precio muy alto. Los supersticiosos que tenían más fe en ella la llevaban siempre consigo o la tenían en sus casas en pilas de donde podían beberla.","Todos los sacerdotes o druidas obtenían beneficios económicos de esta ceremonia. El muérdago o liga era sumergido en una gran cantidad de agua, la cual convencían al pueblo ignorante de que era agua purificadora, buena y efectiva contra hechizos y enfermedades graves. Por lo tanto, la vendían a un precio muy alto. Los supersticiosos que tenían más fe en ella la llevaban siempre consigo o la tenían en sus casas en pilas de donde podían beberla.","
1. ¿Qué productos se fabrican en la tienda de embutidos abierta por unos catalanes en la calle de Hortaleza?
2. ¿Qué pasa con la semilla de alfalfa o de mielga cuando Agosto termina sin daño?"
180,"Todo Madrid estaba en las calles, sio distincion de ciases al de sexdo, y sin embargo ni se oyó una queja, ni se sufrió una incomodidad, al senó una voz que no fuete de gozo y alegría.","Toda la ciudad de Madrid estaba en las calles, sin importar la clase social ni el género. A pesar de eso, no se escuchó ninguna queja ni se experimentó ninguna incomodidad, sino más bien una voz llena de felicidad y alegría.","Toda la ciudad de Madrid estaba en las calles, sin importar la clase social ni el género. A pesar de eso, no se escuchó ninguna queja ni se experimentó ninguna incomodidad, sino más bien voces llena de felicidad y alegría.","
1. ¿Cómo se puede explicar que la ciudad de Madrid estaba en las calles, sin importar la clase social ni el género, y a pesar de eso, no se escuchó ninguna queja ni se experimentó ninguna incomodidad?
2. ¿Por qué se escucharon voces llenas de felicidad y alegría en la ciudad de Madrid, a pesar de que no se importó la clase social ni el género?"
181,"Quiza se me objetara que se puede suplir la ignorancia del joven viaja tor dándole un ayo instruido, capaz de indicarle los objetos dignos de su atencion, y de enseñarle el modo de ver las cosas por su verdadero aspecto.","Quizá alguien me dirá que se puede solucionar la falta de conocimiento del joven viajero dándole un tutor educado, capaz de mostrarle los objetos que valen la pena y de enseñarle cómo ver las cosas tal como son.","Quizá alguien me dirá que se puede solucionar la falta de conocimiento del joven viajero dándole un tutor educado, capaz de mostrarle los objetos que valen la pena y de enseñarle cómo ver las cosas tal como son.","
1. ¿Podría encontrar un tutor educado que me ayude a resolver mi falta de conocimiento?
2. ¿Puedes mostrarme los objetos que valen la pena y enseñarme cómo verlas de manera correcta?"
182,"El que quiera verlos y tratar de ajuste, acudirá á la calle de Amaniel, casa núm. 9, y preguntará por Antonio Garijo, que está encargado de ellos.","Si alguien quiere verlos y hablar sobre ajuste, puede ir a la calle de Amaniel, en la casa número 9, y preguntar por Antonio Garijo, quien se encarga de ellos.","Si alguien quiere verlos y hablar sobre el precio, puede ir a la calle de Amaniel, en la casa número 9, y preguntar por Antonio Garijo, quien se encarga de ellos.","
1. ¿Cuál es la calle y el número de casa donde se encuentran los pañuelos?
2. ¿En qué lugar se llevaron a cabo las reuniones de los acreedores de D. Julian Victor Bourdet?"
183,"Aqui es (me dixo el domestico) donde mi amo me manda que te trayga para que vivas, y te señale una renta con que vivir, que fué lo que me dixo al nido, mandandote detener en su Palacio, hasta dar tiempo á buscar tus hijos, vestirlos y preparar para ellos, y para sí este alojamiento.","Aquí es (me dijo el sirviente) donde mi jefe me ordena que te lleve para que vivas, y te asigne un ingreso con el que puedas vivir, que fue lo que me dijo en secreto, ordenándote que te quedes en su Palacio hasta que haya tiempo para buscar a tus hijos, vestirlos y prepararles, y preparar también este alojamiento para él mismo.","Aquí es (me dijo el sirviente) donde mi amo me ordena que te lleve para que vivas, y te asigne un ingreso con el que puedas vivir, que fue lo que me dijo en secreto, ordenándote que te quedes en su Palacio hasta que haya tiempo para buscar a tus hijos, vestirlos y prepararles este alojamiento.","
1. ¿En qué lugar fue ordenado a vivir la mujer honorable por su amo?
2. ¿Qué fue lo que le dijo en secreto su amo al sirviente sobre su ingreso y el lugar donde debía vivir?"
184,"Mi Amigo Guerrero, y yo, seremos Poetas vespertillones, ó mochuelos como nos llama: seremos lucifugos, como nos nombra: seremos ratones, hormigas, garrapatas, escarabajos, y quanto reptil haya en el mundo; pero siempre ganamos, y ganaremos á Vmd en política, cortesa, y buena crianza, noticiosos de que 239 Quien solicita enseñar, debe prudente advertir, que hay censurar sin herir, y hay herir sin lastimar.","Mi amigo Guerrero y yo seremos poetas nocturnos, o búhos como nos llama. Seremos seres que evitan la luz, como nos nombra. Seremos pequeños roedores, insectos, parásitos, escarabajos y cualquier reptil que exista en el mundo. Pero siempre ganaremos a usted en política, cortesía y buenos modales, sabiendo que aquel que busca enseñar debe advertir con prudencia que hay críticas sin herir y hay heridas sin lastimar.","Mi amigo Guerrero y yo seremos poetas nocturnos, o búhos como nos llama. Seremos seres que evitan la luz, como nos nombra. Seremos ratones, hormigas, garrapatas, escarabajos y cualquier reptil que exista en el mundo. Pero siempre ganaremos a usted en política, cortesía y buenos modales, sabiendo que aquel que busca enseñar debe advertir con prudencia que hay críticas sin herir y hay heridas sin lastimar.","
1. ¿Qué seremos si no somos búhos?
2. ¿Cuáles son los animales que evitarán la luz?"
185,"Quién quisiere comprar dos uniformes nuevos de cobachuelista, y un sombrero igual; acudirá para verlos á la calle de Preciados, número 22, cuarto principal, cerca de la Puerta del Sol, casa del maestro de sastre Jorje Warteler, con quien se tratará de ajuste.","Si alguien quiere comprar dos nuevos uniformes de cobachuelista y un sombrero igual, debe ir a la calle de Preciados, número 22, cuarto principal, cerca de la Puerta del Sol, a la casa del maestro de sastre Jorje Warteler, donde se discutirá el precio y los detalles del ajuste.","Si alguien quiere comprar dos nuevos uniformes de funcionario y un sombrero, debe ir a la calle de Preciados, número 22, cuarto principal, cerca de la Puerta del Sol, a la casa del maestro de sastre Jorje Warteler, donde se discutirá el precio y los detalles de la venta.","
1. ¿Dónde se encuentra la tienda de sombreros de León de Francia con precios muy buenos y gorras para niños?
2. ¿En qué lugar se llevará a cabo el remate del Calendario y quién estará a cargo de la ejecución?"
186,"Desde este dia hasta el 27 de mayo ¡quánta opresion, quantas vexaciones, quintos abatimientos no ha sufrido! Una rapacidad insaciable de oro ha mulriplicado las contribuciones hasta el punto de dexar en la miseria estas honradas familias que vivian con decoro.","Desde este día hasta el 27 de mayo, cuánta opresión, cuántas vejaciones, cuántos abatimientos no ha sufrido! Una codicia insaciable de dinero ha aumentado los impuestos hasta el punto de dejar en la pobreza a estas familias honestas que vivían con dignidad.","Desde este día hasta el 27 de mayo, cuánta opresión, cuanto daño, cuántos humillaciones no ha sufrido! Una codicia insaciable de dinero ha aumentado los impuestos hasta el punto de dejar en la pobreza a estas familias honradas que vivían con dignidad.","
1. ¿Cuánta opresión, cuanto daño y cuántos humillaciones ha sufrido el Sr. D. Julian Victor Bourdet desde el día de la junta de acreedores hasta el 27 de mayo?
2. ¿Cuánta opresión, cuanto daño y cuántos humillaciones ha sufrido la ciudad de este lugar desde el día de la junta de acreedores hasta el 27 de mayo?"
187,"El enfermo ó doliente, atormentado de contínuos dolores y angustias, le consultaba sobre la peoría ó convalecencia que debia esperar de sus achaques en el influxo favorable ó adverso de los astros.","El enfermo o doliente, que sufre constantemente de dolores y angustias, le preguntaba sobre la mejoría o recuperación que podía esperar de sus enfermedades, dependiendo si la influencia de los astros era favorable o adversa.","El enfermo o doliente, que sufría constantemente de dolores y angustias, le preguntaba sobre el empeoramiento o convalecencia que debía esperar de sus enfermedades, dependiendo si la influencia de los astros era favorable o adversa.","
1. ¿Cómo se describe el estado de salud del enfermo o doliente en el texto?
2. ¿Qué se refiere a la influencia de los astros en la recuperación o agravación de las enfermedades del enfermo o doliente?"
188,"Por lo que hace al Hospital, respecto de que son doce camas, pueden ponerse en una sala separada del General, ó bien en lo nuevamente fabricado, ó en lo que falta, con la propia asistencia y rentas que tiene el actual; y finalmente, las casas en pagando á los dueños su importe no se pueden negar á darlas, y mas para un objeto tan interesante al bien público de la Corte y de todo el Reyno, que debe anteponerse al particular de todos los que ocupan dicho terreno.","En cuanto al Hospital, que tiene doce camas, estas pueden ubicarse en una sala separada del General, o en las nuevas construcciones, o en las partes que faltan, utilizando los recursos y el dinero que actualmente tiene. Además, las casas se pueden obtener pagando el valor a los dueños, ya que no se pueden negar a darlas. Esto es especialmente importante para el beneficio público de la Corte y de todo el Reino, que debe ser priorizado sobre los intereses particulares de quienes ocupan el terreno.","En cuanto al Hospital, que tiene doce camas, estas pueden ubicarse en una sala separada del General, o en las nuevas construcciones, o en las partes que faltan, utilizando los recursos y el dinero que actualmente tiene. Además, las casas se pueden obtener pagando el valor a los dueños, ya que no se pueden negar a darlas. Esto es especialmente importante para el beneficio público de la Corte y de todo el Reino, que debe ser priorizado sobre los intereses particulares de quienes ocupan el terreno.","
1. ¿En qué lugares se pueden ubicar las doce camas del Hospital?
2. ¿Pueden las casas ser obtenidas pagando al dueño, o no?"
189,"Se solicita por la Ciudad de Segovia, una Matrona ó Partera, que asista á todas las que la necesiten, y que esté examinada y aprobada por el Real Tribunal del Proto-Medicato; y acudirá dentro de 30 dias á la Ciudad y su Ayuntamiento, que se la admitirá: su dotacion anual es la de 200 ducados pagados de los efectos de Propios de la misma Ciudad: darán razon en la sombrereria de la puerta del Sol, que está á el lado de Perez.","Se busca en la Ciudad de Segovia una persona que tenga conocimientos y experiencia como matrona o partera, para brindar asistencia a todas las mujeres que lo necesiten. Esta persona debe haber sido examinada y aprobada por el Real Tribunal del Proto-Medicato. Después de ser admitida por el Ayuntamiento de la Ciudad, deberá presentarse dentro de los próximos 30 días. La matrona recibirá una remuneración anual de 200 ducados, pagados con los fondos propios de la Ciudad. Se debe dar aviso en la sombrería de la puerta del Sol, ubicada al lado de Perez.","Se busca en la Ciudad de Segovia una persona que tenga conocimientos y experiencia como matrona o partera, para brindar asistencia a todas las mujeres que lo necesiten. Esta persona debe haber sido examinada y aprobada por el Real Tribunal del Proto-Medicato. Deberá presentarse dentro de los próximos 30 días en el Ayuntamiento de la Ciudad, donde se le admitirá. La matrona recibirá una remuneración anual de 200 ducados, pagados con los fondos propios de la Ciudad. Se debe dar aviso en la sombrería de la puerta del Sol, ubicada al lado de Perez.","
1. ¿Cuál es el plazo para presentar los documentos de respaldo de los créditos de D. Julian Victor Bourdet?
2. ¿Cuál es el lugar donde se debe dar aviso en la Ciudad de Segovia para buscar una matrona o partera?"
190,"Quien quisiere comprar un birlocho, ó silla de posta á la francesa, quasi nuevo de dos ruedas, con sus muelles, resorte y demás herragé, con un par de guarniciones, perteneciente á cierta testamentaria, que se manda vender en virtud de órden judicial, acudan á D. Matias Garcia de Carracedo, Escribano de S.M. y del Ilustre Colegio de esta Corte, que vive en la calle de los Negros, entrando por la del Carmen, primer portal á la izquierda qto.","Si alguien quiere comprar un carruaje o una silla de correo al estilo francés, casi nueva, con dos ruedas, con sus muelles, amortiguadores y demás accesorios, con un par de arneses, que pertenece a una herencia que se debe vender por orden judicial, acudan a Don Matías García de Carracedo, escribano de Su Majestad y del Ilustre Colegio de esta ciudad, que vive en la calle de los Negros, entrando por la calle del Carmen, primer portal a la izquierda.","Si alguien quiere comprar un carruaje al estilo francés, casi nuevo de dos ruedas, con sus muelles, amortiguadores y demás accesorios, con un par de arneses, que pertenece a una herencia que se debe vender por orden judicial, acudan a Don Matías García de Carracedo, notario de Su Majestad y del Ilustre Colegio de esta Corte, que vive en la calle de los Negros, entrando por la calle del Carmen, primer portal a la izquierda.","
1. ¿Don Matías García de Carracedo es un notario de Su Majestad y del Ilustre Colegio de esta Corte?
2. ¿En qué calle se encuentra la tienda de embutidos abierta por unos catalanes?"
191,"En la calle de Alcalá, posada de la Aduana, hay un carrito atartanado con dos caballerías de retorno para Cádiz y su carrera; y un coche para Zaragoza y la suya: el mozo de la posada dará razon.","En la calle de Alcalá, en la posada de la Aduana, hay un carro viejo con dos caballos de regreso a Cádiz y su viaje; y un coche para Zaragoza y el suyo: el empleado de la posada dará información.","En la calle de Alcalá, en la posada de la Aduana, hay un carro viejo con dos caballos para regresar a Cádiz, y un coche para Zaragoza. El mozo de la posada dará información.","
1. ¿En qué lugar se encuentra la posada de la Aduana?
2. ¿Cuántos caballos hay en el carro viejo?"
192,"Qin negarle al Sr. Diarista lo ingenioso y agudo de sus eruditas respuestas, á las preguntas que hice en el Diario de 27 de Septiembre sobre si el tanido de las campanas influye ó no en la atraccion de los nublados electricos, se le podrá decir con toda ingenuidad, que no quedo satisfecho, ni menos convencido de que la hipotesis que defiende tenga todas las pruebas necesatias para poderla sostener, como la han sostenido muchos celebres fisicos, de principios ó mediados del siglo.","No se puede negar al Sr. Diarista lo inteligente y perspicaz de sus eruditas respuestas a las preguntas que hice en el Diario de 27 de Septiembre sobre si el sonido de las campanas afecta o no la atracción de los rayos. Sin embargo, debo decir con sinceridad que no quedé satisfecho ni convencido de que la hipótesis que defiende tenga todas las pruebas necesarias para respaldarla, como lo han hecho muchos físicos famosos a principios o mediados del siglo.","No se puede negar al Sr. Columnista lo ingenioso y agudo de sus eruditas respuestas a las preguntas que hice en el Diario de 27 de Septiembre sobre si el sonido de las campanas afecta o no la atracción de los rayos. Sin embargo, debo decir con sinceridad que no quedé satisfecho ni convencido de que la hipótesis que defiende tenga todas las pruebas necesarias para respaldarla, como lo han hecho muchos físicos famosos a principios o mediados del siglo.","
1. ¿Cómo se describe la respuesta del Sr. Columnista a las preguntas sobre el sonido de las campanas y los rayos?
2. ¿Qué se dice sobre la hipótesis defendida por el Sr. Columnista y si tiene las pruebas necesarias para respaldarla?"
193,"En este tal dia, muy de madrugada y antes de nacer el Sol, dichos Druidas, acompañados de los Magistrados y Jueces, y de un crecido número de Pueblo, comenzaban á gritar en altas voces: Al nuerdago, el Año nuevo ( que en francés suena: A-gui-ean-neufi y en castellano parece equivaler á la voz Aguinaldo), con cuya gritería iban á coger el muerdago, ó liga de las encinas, y robles.","En un día muy temprano y antes de que salga el sol, los Druidas, junto con los Magistrados y Jueces, y muchas personas del pueblo, comenzaban a gritar en voz alta: ""¡Al nuerdago, el Año nuevo!"" (que en francés suena: A-gui-ean-neufi y en castellano parece equivaler a la palabra Aguinaldo). Con este grito iban a recoger el muérdago, o las ramas de encinas y robles.","En un día muy temprano y antes de que salga el sol, los Druidas, junto con los Magistrados y Jueces, y muchas personas del pueblo, comenzaban a gritar en voz alta: ""¡Al muerdago, el Año nuevo!"" (que en francés suena: A-gui-ean-neufi y en castellano parece equivaler a la palabra Aguinaldo). Con este grito iban a recoger el muérdago, o las ramas de encinas y robles.","
1. ¿Qué significa ""¡Al muerdago, el Año nuevo!"" en francés?
2. ¿En qué pueblos se gritaba ""¡Al muerdago, el Año nuevo!"" y qué se recogían?"
194,"mi cordial gratitud, por los favores que le merezco, y á declararle ingenuamente mi situacion; no me hallo en estado de creerme digno de la dicha de poseer á su hija.",Quiero agradecerle sinceramente por los favores que he recibido y quiero expresarle abiertamente mi situación actual. No me considero digno de tener a su hija.,Quiero agradecerle sinceramente por los favores que he recibido y quiero expresarle abiertamente mi situación actual. No me considero digno de tener a su hija.,"
1. ¿Cómo puedo expresarle abiertamente mi situación actual al marido?
2. ¿Cómo puedo agradecerle sinceramente por los favores que he recibido al marido?"
195,"Pero aunque supongamos vencidas todas estas dificultades, el jóven no sacará mas utilidad de sus viages que la que podia recibir de las lecciones de este mismo ayo en su casa; como dispensado de ver y reflexionar por sí mismo, no verá mas ni formará otros juicios de las cosas que los que le dicte su ayo: escribirá á su familia relaciones dictadas por su guia, que solo servirán para llenarle de orgullo, pero no para instruirle.","Aunque supongamos que todas estas dificultades están superadas, el joven no obtendrá más beneficio de sus viajes que el que podría recibir de las enseñanzas de su tutor en su casa. Debido a que no se le exige ver y reflexionar por sí mismo, no verá ni formará opiniones sobre las cosas que no sean las que su tutor le dicte. Escribirá cartas a su familia que serán dictadas por su guía, las cuales solo servirán para llenarlo de orgullo pero no para enseñarle.","Aunque supongamos que todas estas dificultades están superadas, el joven no obtendrá más beneficio de sus viajes que el que podría recibir de las enseñanzas de su tutor en su casa. Debido a que no se le exige ver y reflexionar por sí mismo, no verá ni formará opiniones sobre las cosas que no sean las que su tutor le dicte. Escribirá cartas a su familia que serán dictadas por su guía, las cuales solo servirán para llenarlo de orgullo pero no para enseñarle.","
1. ¿Cómo se puede saber si el joven obtendrá más beneficio de sus viajes que de las enseñanzas de su tutor en su casa?
2. ¿Por qué el joven no verá ni formará opiniones sobre las cosas que no sean las que su tutor le dicte?"
196,"Vió al principio mia turba de gentes de distincion que parecia congregarse en aquel sitio para ir á algun festejo; y como la hambre y la necesidad le apretasen determinó seguir á aquellos señores, y entró con ellos en un Palacio magnifico, donde al principio, como estaba abierta la puerta, se les dejó pasar á todos hasta el salon preparado para el festin.","Al principio, vio a un grupo de personas importantes que parecían reunirse en ese lugar para ir a alguna celebración. Debido a que tenía hambre y necesidad, decidió seguir a esas personas y entró con ellos a un Palacio impresionante. Al principio, como la puerta estaba abierta, les permitieron a todos pasar hasta el salón preparado para el banquete.","Al principio, vio a un grupo de personas importantes que parecían reunirse en ese lugar para ir a alguna celebración. Debido a que tenía hambre y necesidad, decidió seguir a esas personas y entró con ellos a un Palacio magnifico. Al principio, como la puerta estaba abierta, les permitieron a todos pasar hasta el salón preparado para el festín.","
1. ¿Qué lugar se describe en el texto como ""magnífico""?
2. ¿Qué acción se describe que el personaje realiza al entrar con las personas importantes?"
197,"La persona que quiera tomar en arriendo una casa grande, que se halla saliendo por la Puerta de Santa Barbara, y tomando el camino nuevo, á mano derecha, y en el alto que llaman del Chamberi, junto á los tejares, acuda á la misma casa huerta, y preguntará por su dueño, que es con quien se tratará de su ajuste.","Si alguien quiere alquilar una casa grande que está ubicada por la Puerta de Santa Barbara, debe tomar el camino nuevo a la derecha y llegar al alto llamado del Chamberi, cerca de los tejares. Debe ir a la misma casa huerta y preguntar por el dueño, con quien se tratará el acuerdo de alquiler.","Si alguien quiere alquilar una casa grande que está ubicada por la Puerta de Santa Barbara, debe tomar el camino nuevo a la derecha y llegar al alto llamado del Chamberi, cerca de los tejares. Debe ir a la misma casa huerta y preguntar por el dueño, con quien se tratará el acuerdo de alquiler.","
1. ¿Cómo se puede alquilar una casa grande en la calle de la Puerta de Santa Barbara?
2. ¿En qué lugar se encuentra el dueño de la casa huerta para alquilar una casa grande en el Chamberi?"
198,"Sus ojos, nunca lánguidos ni abatidos, se dirigian hácia las columnas de Hércules, y advertia mil y mil esfuerzos de los padres de la patria en sus leyes sablas y activas disposiciones para multiplicar el hierro vengador de sus ultrajes.","Sus ojos, que nunca estaban cansados ni tristes, se dirigían hacia las columnas de Hércules. Allí observaba los numerosos esfuerzos de los líderes de la patria en sus leyes sabias y en sus activas disposiciones para aumentar el poderío del hierro que vengaría sus afrentas.","Sus ojos, que nunca estaban cansados ni abatidos, se dirigían hacia las columnas de Hércules. Allí observaba los numerosos esfuerzos de los líderes de la patria en sus leyes sabias y en sus activas disposiciones para aumentar el poderío del hierro que vengaría sus desprecios.","
1. ¿En qué dirección se dirigían los ojos del personaje en la pasaje?
2. ¿Qué observaba el personaje en las columnas de Hércules?"
199,"El dia 4 del pasalo, desde la puerta de Atocha hasta la de la campañilla, se perdieron unas talegas ó faltriqueras, con 26 á 28 duros: quien las haya encontrado las entregara en la plaza mayor en el puesto de la Fermina, que se dará el hallazgo.","El día 4 del pasado mes, desde la puerta de Atocha hasta la puerta de la campañilla, se perdieron unas bolsas o pequeñas carteras, con 26 a 28 monedas de plata: la persona que las haya encontrado las entregará en la plaza mayor en el puesto de la Fermina, y se le dará una recompensa por el hallazgo.","El día 4 del pasado mes, desde la puerta de Atocha hasta la puerta de la campañilla, se perdieron unas bolsas o pequeñas carteras, con 26 a 28 duros, moneda de veinte reales. La persona que las haya encontrado las entregará en la plaza mayor en el puesto de la Fermina, y se le dará una recompensa por el hallazgo.","
1. ¿En qué lugar se perdieron las bolsas o pequeñas carteras con dinero?
2. ¿En qué lugar se entregarán las bolsas o pequeñas carteras con dinero?"
200,"Mi padre, privado de la vista consoladora de los hombres, sumergido en una obscura carcel, respiraría un ayre inficionado, y llevaria en la pobreza una vida languida, y desdichadal mientras que yo, su hijo, de quien he recibido el ser, estaria goz ndo ....","Mi padre, que no puede ver a las personas para consolarse, está en una prisión oscura donde respira un aire contaminado y lleva una vida pobre y desdichada. Mientras tanto, yo, su hijo, quien ha recibido la vida de él, estaría disfrutando...","Mi padre, que no puede ver a las personas para consolarse, está en una prisión oscura donde respira un aire contaminado y lleva una vida pobre y desdichada. Mientras tanto, yo, su hijo, quien ha recibido la vida de él, estaría disfrutando...","
1. ¿En qué lugar se encuentra mi padre y qué condiciones está sufriendiendo?
2. ¿Yo, su hijo, ¿en qué lugar estoy y ¿qué estoy haciendo?"
