,original,gpt,manual,Preguntas_original
69,"Si algun Abogado, ó Relator necesitase de un pasante instruido, acuda á la calle de S. Hermenegildo n. 1 casa sola, advirtiendo que tambien servirá para qualquier manejo de papeles.","Si algún abogado o relator necesita de un estudiante de derecho, puede ir a la calle S. Hermenegildo n. 1, donde hay una casa disponible. También se destaca que este estudiante puede ayudar en cualquier tipo de trabajo relacionado con documentos.","Si algún abogado o letrado necesita de un estudiante de derecho, puede ir a la calle S. Hermenegildo n. 1, donde hay una casa. También se destaca que este estudiante puede ayudar en cualquier tipo de trabajo relacionado con documentos.","
1. ¿Cuál es la dirección de la oficina que ofrece servicios de pasante instruido para abogados o relatores?
2. ¿Puedes decirme si esta oficina también ofrece servicios para el manejo de papeles adicionales?"
70,"Fuera de esta razon es de advertir que el desorugamiento del invierno no hace casi el menor daño á los árboles, porque las mariposas de la oruga colocan siempre sus nidos sobre los pimpollos ó yemas del año antecedente, á fin (gobernadas de instinto natural) de que quando sus cresas ó prole rompan los huevecillos se hallen mas cerca de las hojitas mas tiernas que poder comer, nacidas con abundancia en las ramillas nuevas.","Es importante tener en cuenta que el deshielo del invierno no causa mucho daño a los árboles, ya que las mariposas de la oruga siempre colocan sus nidos en los brotes o yemas del año anterior, con el fin de que cuando sus crías eclosionen, estén más cerca de las hojas más tiernas que puedan comer, que crecen en gran cantidad en las ramitas nuevas.","Es importante tener en cuenta que la eliminación de las orugas del invierno no causa mucho daño a los árboles, ya que las mariposas de la oruga siempre colocan sus nidos en los brotes o yemas del año anterior, con el fin de que cuando sus crías nazcan, estén más cerca de las hojas más tiernas que puedan comer, que crecen en gran cantidad en las ramitas nuevas.","
1. ¿Por qué el desorugamiento del invierno no causa mucho daño a los árboles?
2. ¿Por qué las mariposas de la oruga colocan sus nidos sobre los pimpollos o yemas del año anterior?"
71,"Habiendo el Rey concedido licencia para ausentarse de esta corte por término de seis meses a su primer médico de Cámara D. Vicente Martinez, ha resuleto que el segundo, D. Hidalgo de Torres, presida las oposiciones á la plaza de médico de familia, que se halla vacante, segun aviso que se publicó en la gaceta de 15 de octubre último: al mismo tiempo ha nombrado S.M. por secretario del concurso y juez supermorario al médico de cámara de número D. José de Albarran, al cual deberán presentarse los profesores que quieran firmar la referida oposicion; en inteligencia de que S.M. ha mandado se prorrogue el término del concurso por un mes mas, contado desde hoy.","El rey ha dado permiso a su primer médico de Cámara, D. Vicente Martínez, para ausentarse de la corte durante seis meses. En consecuencia, ha decidido que el segundo médico, D. Hidalgo de Torres, presida las oposiciones para el puesto de médico de familia que está vacante. Esta información se anunció en la gaceta del 15 de octubre pasado. Además, el rey ha nombrado a D. José de Albarrán, médico de cámara de número, como secretario del concurso y juez suplente. Los profesores interesados en participar en la oposición deben presentarse ante él. Es importante destacar que el rey ha ordenado que el plazo del concurso se prorrogue por un mes más, a partir de hoy.","El rey ha dado permiso a su primer médico de Cámara, D. Vicente Martínez, para ausentarse de la corte durante seis meses. En consecuencia, ha decidido que el segundo médico, D. Hidalgo de Torres, presida las oposiciones para la plaza de médico de familia que está vacante. Esta información se anunció en el periódico del 15 de octubre pasado. Además, el rey ha nombrado a D. José de Albarrán, médico de cámara, como secretario del concurso y juez suplente. Los profesores interesados en participar en la oposición deben presentarse ante él. Es importante destacar que el rey ha ordenado que el plazo del concurso se amplíe por un mes más, a partir de hoy.","
1. ¿Qué es el cargo que ha sido designado al médico de cámara de número D. José de Albarran por el Rey?
2. ¿En qué cargo ha sido designado el médico de cámara de número D. José de Albarran por el Rey?"
72,"Ayuntamiento, subdelegado de la junta general de Comercio y Moneda en esta provincia, corregidor interino de esta capital y su partido &c. El Rey nuestro Señor ha resuelto salir á visitar las Estaciones el próximo jueves santo á las cuatro de la tarde, en compañia de la Reyna nuestra Señora y Sermos.","El Rey va a visitar las Estaciones el próximo jueves santo a las cuatro de la tarde. Lo hará en compañía de la Reina y otros. El Ayuntamiento, el subdelegado de la junta general de Comercio y Moneda en esta provincia, y el corregidor interino de esta capital y su partido también estarán presentes.","El Rey va a visitar las Estaciones el próximo jueves santo a las cuatro de la tarde. Lo hará en compañía de la Reina y otros. El Ayuntamiento, el subdelegado de la junta general de Comercio y Moneda en esta provincia, y el corregidor interino de esta capital y su partido también estarán presentes.","
1. ¿Qué es el nombre del Ayuntamiento y su función en la provincia?
2. ¿En qué lugar y a qué hora el Rey nuestro Señor planea visitar las Estaciones?"
73,"En casa del maestro de coches que está en la plazuela del Conde de Barajas, se vende un calesin con todos los arreos para el caballo, bien tratados uno y otro, lo que se dará con equidad.","En la casa del profesor de automóviles, ubicada en la plaza del Conde de Barajas, hay a la venta un carruaje con todos los accesorios para el caballo, que están en buen estado tanto el carruaje como los accesorios, y se venderán a un precio justo.","En la casa del profesor de automóviles, ubicada en la plaza del Conde de Barajas, hay a la venta un carruaje con todos los accesorios para el caballo, que están en buen estado tanto el carruaje como los accesorios, y se venderán a un precio justo.","
1. ¿En qué lugar se encuentra el maestro de coches que vende el calesin con todos los arreos para el caballo?
2. ¿Cuánto cuestan las dos estampas que representan un guerrero viejo y una vieja, perimerra, con marcos de nueva invención de gusto etrusco muy comodo para viajes y de facil limpieza con marco y cristal a 8 rs.?"
74,"La junta de acreedores de D. Julian Victor Bourdet, vecino de esta corte, celebrada el 13 del pasado á la presencia del Sr. Lon Antonio Jose Galindo, del Consejo de S.M., y teniente de corregidor de esta villa, por ante el escribano del número de la misma D.n Tadeo Martinez, se acordó que por los periódicos de Gacera y Diario de esta capital se haga saber á todos los referidos acreedores del Bourder, que en el término de un mes, contado desde el dia de su publicacion, presenten á los comisionados D. Pedro Vergez y D. Erancisco Flores los documentos que legitimen sus créditos, y los que lo hayan hecho lo verifiquen de otros que corroboran los presentados para proceder á su calificacion, apercibidos que pasado dicho término sin haberlo hecho les parará el perjuicio que haya lugar.","La junta de acreedores de D. Julian Victor Bourdet, residente en esta ciudad, se llevó a cabo el 13 del mes pasado con la presencia del Sr. Lon Antonio Jose Galindo, del Consejo de S.M., y teniente de corregidor de este lugar. El acta de la junta fue redactada por el escribano D.n Tadeo Martinez. Se acordó que los periódicos Gacera y Diario de esta ciudad deberán informar a todos los acreedores de Bourdet que tienen un plazo de un mes, a partir del día de publicación, para presentar sus documentos de respaldo de sus créditos a los comisionados D. Pedro Vergez y D. Erancisco Flores. Aquellos que ya hayan presentado sus documentos deberán corroborarlos con otros documentos para proceder a su evaluación. Se les advierte que, si no cumplen con este plazo, sufrirán las consecuencias correspondientes.","La junta de acreedores de D. Julian Victor Bourdet, residente en esta ciudad, se llevó a cabo el 13 del mes pasado con la presencia del Sr. Lon Antonio Jose Galindo, del Consejo de Su Majestad, y teniente de corregidor de este lugar. El acta de la junta fue redactada por el notario D.n Tadeo Martinez. Se acordó que los periódicos Gacera y Diario de esta ciudad deberán informar a todos los acreedores de Bourdet que tienen un plazo de un mes, a partir del día de publicación, para presentar sus documentos de respaldo de sus créditos a los comisionados D. Pedro Vergez y D. Erancisco Flores. Aquellos que ya hayan presentado sus documentos deberán corroborarlos con otros documentos para proceder a su evaluación. Se les advierte que, si no cumplen con este plazo, sufrirán las consecuencias correspondientes.","
1. ¿Cuál fue la fecha de la reunión de la junta de acreedores de D. Julian Victor Bourdet?
2. ¿Qué se acordó en la reunión de la junta de acreedores de D. Julian Victor Bourdet?"
75,"Por promocion de D. Ramon de Miranda y Sierra, á la Dignidad de Prior de la referida Catédrál, ha quedado vacante la Abadia que obtenia en la Colegial de Cobadonga, y vale anualmente 160 rs.","Se ha quedado libre la Abadía que D. Ramón de Miranda y Sierra tenía en la Colegiata de Covadonga, debido a que ha sido ascendido a Prior de la mencionada Catedral. Esta Abadía tiene un valor anual de 160 reales.","Se ha quedado libre la Abadía que D. Ramón de Miranda y Sierra tenía en la Colegiata de Covadonga, debido a que ha sido ascendido a Prior de la mencionada Catedral. Esta Abadía tiene un valor anual de 160 reales.","
1. ¿Qué es la promoción de D. Ramon de Miranda y Sierra?
2. ¿En qué lugar se encuentra la Abadía que obtuvo D. Ramon de Miranda y Sierra?"
76,"Do incomodo y desacostumbrado de la hora, el frio de la noche, y algunas rafaguillas que empañaban la atmosfera, turbando un poco el disco de la Luna, fueron bastantes causas para no poderse observar el eclipse de esta de la noche del Martes 11 en toda la duracion de sus fases.","El horario incómodo y poco habitual, el frío de la noche y algunas ráfagas de viento que empañaban el cielo, haciendo que la Luna no se viera claramente, fueron las razones por las cuales no se pudo observar el eclipse en su totalidad. El eclipse ocurrió la noche del Martes 11.","El horario incómodo y poco habitual, el frío de la noche y algunas ráfagas de viento que empañaban el cielo, haciendo que la Luna no se viera claramente, fueron las razones por las cuales no se pudo observar el eclipse en toda la duración de sus fases. El eclipse ocurrió la noche del Martes 11.","
1. ¿Qué causaron la dificultad de observar el eclipse de la noche del Martes 11?
2. ¿Por qué fue corta y de breve duración la penumbra, o sombra impura de la tierra durante el próximo pasado eclipse parcial?"
77,"Hoy es la ópera intitulada: A quien de ageno se viste, en la calle le desnudan, nueva; con 2 bayles, el 1.º el gran bayle heroyco el triunfo de Alexandro contra Dario, y el 2.º el Botero.","Hoy se presenta una nueva ópera llamada ""A quien de ajeno se viste, en la calle le desnudan"". La ópera cuenta con dos bailes. El primero es el gran baile heroico que representa el triunfo de Alejandro contra Darío. El segundo baile se titula ""El Botero"".","Hoy se presenta una nueva ópera llamada ""A quien de ajeno se viste, en la calle le desnudan"". La ópera cuenta con dos bailes. El primero es el gran baile heroico que representa el triunfo de Alejandro contra Darío. El segundo baile se titula ""El Botero"".","
1. ¿Qué es la ópera que se representará hoy?
2. ¿Qué son los dos bailes que se interpretarán en la ópera?"
78,"Como la penumbra, ó sombra impura de la tierra es dificilisima de percibir en su principio quando empieza a turbar la luz del limbo oriental de la Luna, y tanto mas en los Eclipsés parciales, no debe extrañarse que en el proximo pasado fuese muy corta, y de breve duración.","La penumbra o sombra sucia de la tierra es muy difícil de ver al principio cuando comienza a oscurecer la luz del área iluminada de la Luna, especialmente durante los eclipses parciales. Por lo tanto, no es sorprendente que en el último eclipse pasado haya sido muy corto y de corta duración.","La penumbra o sombra de la tierra es muy difícil de ver al principio cuando comienza a oscurecer la luz del área iluminada de la Luna, especialmente durante los eclipses parciales. Por lo tanto, no es sorprendente que en el último eclipse haya sido muy corto.","
1. ¿Cómo se describe la dificultad de percibir la sombra impura de la tierra en el principio cuando empieza a turbar la luz del limbo oriental de la Luna?
2. ¿Por qué se puede esperar que el próximo eclipse parcial fuera muy corto y de breve duración?"
79,"En el de la calle de la Cruz, por la Compañia de Martinez, se representa el Drama titulado: El Tetrarca, con saynete y dos tonadillas, la una nueva.","En el teatro de la calle de la Cruz, por la compañía de Martinez, se está presentando la obra de teatro llamada ""El Tetrarca"", junto con un pequeño sketch cómico y dos canciones, una de ellas es nueva.","En el teatro de la calle de la Cruz, por la compañía de Martinez, se está presentando la obra de teatro llamada ""El Tetrarca"", junto con una pequeña actuación cómica y dos canciones, una de ellas es nueva.","
1. ¿Qué es el título del drama que se representa en el de la calle de la Cruz por la Compañía de Martinez?
2. ¿Cuántas tonadillas y de qué género están incluidas en el drama representado en el de la calle de la Cruz por la Compañía de Martinez?"
80,"notar: aquí que el bueno del Doctor que tuvo á bien copiar al pie de la letra lo que ha publicado á su nombre, halló escrito allí, por error de pluma, la suma de 12.5800; y no parandose á mas exâmen copió hasta este yerro, como habrá copiado otros que son muy faciles en las copias de los calculos y sus resultados; pero no pueden tener disculpa quando se dan al público: tiene Vmd.","Aquí se puede observar que el amable Doctor, quien decidió copiar literalmente lo que ha sido publicado bajo su nombre, encontró escrito allí, por un error de pluma, la cantidad de 12.5800; y sin hacer más examen, copió hasta este error, al igual que otros errores que son muy comunes en las copias de cálculos y sus resultados; pero no pueden ser excusados cuando se presentan al público. ¿Entiendes?","Aquí se puede observar que el amable Doctor, quien decidió copiar literalmente lo que ha sido publicado bajo su nombre, encontró escrito allí por un error, la cantidad de 12.5800; y sin pensar, copió hasta este error, al igual que otros errores que son muy comunes en las copias de cálculos y sus resultados; pero no pueden ser excusados cuando se presentan al público. Vuestra merced.","
1. ¿Qué pasó con el Doctor que publicó un error de 12.5800 en su trabajo?
2. ¿Por qué el Doctor no se detuvo a corregir el error de 12.5800 y continuó copiando?"
81,"En el Despacho principal de esté Periodico, y en la lbreria de Ativas carrera de San Géronimo, se hallan de venta dos estampas que representan un guerrero viejo y una vieja, perimerra, de figuras muy extrañas y ridiculas, con marcos de nueva invencion de gusto etrusco muy comodo para viages y de facil limpieza con marco, y cristal á 8 rs.","En la oficina principal de este periódico y en la librería de la calle activa de San Jerónimo, están disponibles para la venta dos imágenes que representan a un guerrero anciano y a una mujer anciana. Estas imágenes son de figuras muy extrañas y ridículas, y vienen con marcos nuevos de estilo etrusco, muy cómodos para viajes y fáciles de limpiar. El precio es de 8 reales e incluye el marco y el cristal.","En la oficina principal de este Periódico y en la librería de la calle activa de San Jerónimo, están disponibles para la venta dos imágenes que representan a un guerrero viejo y a una mujer anciana. Estas imágenes son de figuras muy extrañas y ridículas, y vienen con marcos nuevos de estilo etrusco, muy cómodos para viajes y fáciles de limpiar. El precio es de 8 reales e incluye el marco y el cristal.","
1. ¿En qué librería se encuentran las dos estampas representando un guerrero viejo y una vieja, perimerra, con marcos de nueva invención de gusto etrusco?
2. ¿Cuánto cuestan las dos estampas representantes un guerrero viejo y una vieja, perimerra, con marcos de nueva invención de gusto etrusco?"
82,"Movióle á lastima esta humilde confesion mia, y me mandó que me estubiese todo el resto del dia dandole conversacion é informandole de otras muchas cosas de mi Patria Damasco.","Esta humilde confesión mía conmovió a la persona y me ordenó que pasara el resto del día hablando con él y contándole muchas cosas sobre mi país, Damasco.","Esta humilde confesión mía le conmovió y me ordenó que pasara el resto del día hablando con él y contándole muchas cosas sobre mi país, Damasco.","
1. ¿Qué pasó cuando la persona le dio la confesión a la otra persona?
2. ¿Qué le pidió la persona que hiciera conversación con ella y le informara de otras cosas de su patria?"
83,"La persona á quien en el dia 29 de setiembre último le haya faltado un fanal grande, ó farol de cristal, acuda al repeso mayor de corte, en donde dando sus señas se le entregará.","Si alguien perdió un fanal grande o farol de cristal el día 29 de septiembre pasado, debe ir al repeso mayor de corte y proporcionar su información para que se le devuelva.","Si alguien perdió un farol de cristal el día 29 de septiembre pasado, debe ir al mercado mayor de la corte y proporcionar su información para que se le devuelva.","
1. ¿Qué pasó con la persona que faltó un fanal grande el 29 de setiembre último?
2. ¿En qué lugar se entregó al reposo mayor de corte la persona que faltó un fanal grande?"
84,"El dia 28 del pasado se perdió una pieza de Autos, que se siguen por la Escribanía del Número de D. Tomás de Sancha y Prado, y Audiencia del Sr. D. Jacinto Virto, liados con cuerda de bramante, de bastante volumen, y dentro de ella otros Autos ó primeras diligencias de un abintestaro, un memorial decretado por dicho Sr. Juez en 23 del dicho mes, con algunos pliegos de papel sellado de á 20 máravedis, por las inmediaciones de la Carcel de esta Villa y su Plaza mayor; qualquiera persona que la hubiese hallado se suplica la entregue á D. Joseph Ximenez Morales, que vive calle de Embaxadores, n. 2.","El día 28 del mes pasado se perdió una parte de Autos, que están siendo buscados por la Oficina de Registro de D. Tomás de Sancha y Prado, y la Audiencia del Sr. D. Jacinto Virto, atados con cuerda de bramante, de un tamaño considerable, y dentro de ella hay otros Autos o primeras diligencias de un testamento intestado, un informe ordenado por el mencionado Juez el día 23 del mismo mes, con algunos documentos sellados de 20 máravedis, cerca de la Cárcel de esta Ciudad y su Plaza Mayor; cualquier persona que la haya encontrado, se le pide que la entregue a D. Joseph Ximenez Morales, que vive en la calle de Embajadores, número 2.","El día 28 del mes pasado se perdieron unos documentos que están siendo buscados por la Oficina de Registro de D. Tomás de Sancha y Prado, y la Audiencia del Sr. D. Jacinto Virto. Están atados con cordel de cañamo y son de un tamaño considerable. Entre los documentos hay unas primeras diligencias de una herencia, un informe ordenado por el mencionado Juez el día 23 del mismo mes, con algunos papeles valorados en 20 monedas máravedis. Se perdieron cerca de la Cárcel de esta Ciudad y su Plaza Mayor; cualquier persona que la haya encontrado, se le suplica que la entregue a D. Joseph Ximenez Morales, que vive en la calle de Embajadores, número 2.","
1. ¿En qué lugar se perdió la pieza de Autos?
2. ¿Quién es D. Joseph Ximenez Morales y dónde vive?"
85,"Sepa que estamos convencidos de que él será uno de aquellos que tenían gran bolsillo, espectadores indiferentes de la hambre asoladora y gemidos desesperados en las guardillas; ó uno de los que compraban á los franceses el fruto de sus horribles saqueos; ó uno de esos genios que en nuestra revolucion han tenido dos caras, y habilidad para hacerlas valer en ambos partidos.",Creemos que él será una persona rica e indiferente a la pobreza y el sufrimiento de los demás. También podría ser alguien que compraba cosas robadas a los franceses. O tal vez sea uno de esos genios que saben cómo aprovecharse de ambos lados durante una revolución.,Creemos que él será una persona rica e indiferente a la pobreza y el sufrimiento de los demás. También podría ser alguien que compraba cosas robadas a los franceses. O tal vez sea uno de esos genios que saben cómo aprovecharse de ambos lados durante una revolución.,"
1. ¿Qué tipo de personas estamos convencidos de que será uno de aquellos que tenían gran bolsillo, espectadores indiferentes de la hambre asoladora y gemidos desesperados en las guardillas; o uno de los que compraban á los franceses el fruto de sus horribles saqueos; o uno de esos genios que en nuestra revolucion han tenido dos caras, y habilidad para hacerlas valer en ambos partidos?
2. ¿Qué pasa con el tiempo sin Hluvia y si hay gran seguridad, y el Sol es picaño, donde hallan las aguas podrá ser muy larga, su copia y corriente todo aquel año que ya está en su punto, madura, é lozana, y en fin, cuando Agosto concluya sin daño, de Alfalfa o de Mielga cogerse ha la grana?"
86,"A la mañana del dia siguiente me despidió con toda afabilidad, y me dió un cri do que me acompañase para ir á buscar mis hijitos; pero en ven de ir acia la Mezquita reparé que me llevaba por otra parte hasta entrar en una bella casa ricamente halajada, donde encontre á mis hijos vestidos de nuevo, y muy alegres.","Al día siguiente por la mañana, me despidió amablemente y me dio un criado que me acompañara a buscar a mis hijos. Pero en lugar de ir hacia la Mezquita, noté que me llevaba hacia otro lugar hasta entrar en una hermosa casa muy bien decorada, donde encontré a mis hijos vestidos con ropa nueva y muy contentos.","Al día siguiente por la mañana, me despidió amablemente y me dio un criado que me acompañara a buscar a mis hijos. Pero en lugar de ir hacia la Mezquita, noté que me llevaba hacia otro lugar hasta entrar en una hermosa casa muy bien decorada, donde encontré a mis hijos vestidos con ropa nueva y muy contentos.","
1. ¿Qué pasó a la persona al día siguiente cuando se despidió con afabilidad y le dio un criado para ir a buscar a sus hijos?
2. ¿En qué lugar encontró la persona a sus hijos después de entrar en una bella casa ricamente halajada?"
87,"Y ara que hegue á noticia de todos, he mandado se fien edictos en los parages públicos, y que se anunete en la gaceta y diacionde esta corte.","Para que llegue a conocimiento de todos, he ordenado que se coloquen carteles en lugares públicos y que se publique en el periódico y en la radio de esta ciudad.","Para que llegue a conocimiento de todos, he ordenado que se coloquen carteles en lugares públicos y que se publique en el periódico de esta ciudad.","
1. ¿Qué se anunció en la gaceta y diaciónde esta corte?
2. ¿En qué parajes públicos se fieron edictos?"
88,"La persona que quisiere servirse de una habitacion bien amueblada que tiene dos salas y dos alcobas, acudirá para tratar de ellas á la calle del Leon, casa del Cirujano que está frente de la Marquesa de la Torrecilla.","Si alguien desea alquilar una habitación completamente amueblada con dos salas y dos dormitorios, deberá dirigirse a la calle del León, en la casa del Cirujano que se encuentra enfrente de la Marquesa de la Torrecilla.","Si alguien desea alquilar una habitación completamente amueblada con dos salas y dos dormitorios, deberá dirigirse a la calle del León, en la casa del Cirujano que se encuentra enfrente de la Marquesa de la Torrecilla.","
1. ¿Cuál es la dirección de la casa donde se encuentra el Cirujano que puede ayudar a encontrar una habitación bien amueblada con dos habitaciones y dos alcobas?
2. ¿Qué se promete a las personas que le favorecen al realizar un pliego de 21 líneas por página y 25 líneas por página para D. Felipe Fernandez, que vive en calle del Medio dia grande n. 8 qto. principal casa que llaman del Sol?"
89,"Concluido el festin y levantandose todos los convidados de la mesa me fui en su compañia hacia la puerta de la casa, donde me agarró y me dembo un criado.","Terminada la comida y levantándose todos los invitados de la mesa, me fui junto a ellos hacia la puerta de la casa. Allí, un criado me agarró y me echó a la calle.","Terminada la comida y levantándose todos los invitados de la mesa, me fui junto a ellos hacia la puerta de la casa. Allí, un criado me agarró y me asalto un criado.","
1. ¿Qué pasó después de que concluyó el festín y todos los invitados se levantaron de la mesa?
2. ¿Qué acción tomó el criado al agarrar y demborar al personaje en la puerta de la casa?"
90,"El buen colmenero tendrá cuidado en este mes de limpiar, y matar unos grandes mosarrones que acuden mucho á la miel de las colmenas, llevados de la golosina, causando sumo daño.","El apicultor responsable debe tener precaución en este mes de limpiar y eliminar unos grandes moscones que son atraídos por la miel de las colmenas debido a su golosina, causando mucho daño.","El apicultor responsable debe tener precaución en este mes de limpiar y eliminar unos grandes moscones que son atraídos por la miel de las colmenas debido a su dulzor, causando mucho daño.","
1. ¿Cuál es el tema de este texto?
2. ¿Qué acciones debe tomar el buen colmenero en este mes?"
91,"el conducto por donde al público se comunican ideas, que si alguno acomodan las practican, las mejora, y tal vez le son útiles á sí, y á otros, me he atrevido á manifestar la mia, no dudando que alguno la amplifique, y la haga útil a la Nacion.","El medio por el cual las personas comparten ideas con el público, y si a alguien le resultan útiles, las lleva a cabo, las mejora y tal vez le sean útiles a sí mismo y a los demás, me he atrevido a expresar mi opinión, sin dudar de que alguien la expandirá y la hará útil para la Nación.","El medio por el cual las personas comparten ideas con el público, y si a alguien le resultan útiles, las lleva a cabo, las mejora y tal vez le sean útiles a sí mismo y a los demás, me he atrevido a expresar mi opinión, sin dudar de que alguien la expandirá y la hará útil para la Nación.","
1. ¿Qué es el conducto por donde se comunican ideas en el público?
2. ¿Por qué el autor se atrevió a manifestar sus propias ideas?"
92,"Nada de esto está probado, ni hay un experimento, ni una analogía, que nos encamine á esta sospecha: todos estos son emplastos puestos á la enfermedad de un sistema arbitrario, improbable, y que muestra bastante del mal de que adolece.","No hay pruebas de esto, ni hay un experimento ni una comparación que nos lleve a esta sospecha. Todos estos son tratamientos aplicados a una enfermedad de un sistema arbitrario, improbable y que muestra suficiente del problema que tiene.","No hay pruebas de esto, ni hay un experimento ni una comparación que nos lleve a esta sospecha. Todos estos son tratamientos aplicados a una enfermedad de un sistema arbitrario, improbable y que muestra suficiente del problema que tiene.","
1. ¿Qué es la sospecha que se expresa en este texto?
2. ¿Por qué se considera que los panes de oro reducidos a tenuisimos pedazos no ascienden sino en la mayor proximidad de materia electrica?"
93,"En la sombrerería sita en la calle de la Cruz, entrando por la plazuela del Angel, primera puerta á mano derecha, hai un surtido de sombreros de Leon de Francia á precios mul arreglados, é igualmento del seda sobre fienros, y gorras de lo mismo flara niños, todo con la mayor perfeccion y posible equidad.","En la tienda de sombreros ubicada en la calle de la Cruz, al entrar por la plazuela del Ángel, en la primera puerta a mano derecha, hay una variedad de sombreros de León de Francia a precios muy buenos, también hay sombreros de seda en marcos, y gorras del mismo material para niños, todo con la mejor calidad y precios justos.","En la tienda de sombreros ubicada en la calle de la Cruz, al entrar por la plazuela del Ángel, en la primera puerta a mano derecha, hay una variedad de sombreros de León de Francia a precios muy buenos, también hay sombreros de seda sobre tela, y gorras del mismo material para niños, todo con la mejor calidad y precios justos.","
1. ¿En qué calle se encuentra la sombrerería?
2. ¿En qué plazuela se accede a la sombrerería?
3. ¿En qué puerta se encuentra el surtido de sombreros de Leon de Francia?
4. ¿Qué materiales son los sombreros de Leon de Francia hechos de?
5. ¿Qué materiales son las gorras hechos de?
6. ¿Qué precio tienen los sombreros de Leon de Francia?
7. ¿Qué precio tienen las gorras?
8. ¿En qué medida se han arreglado los precios de los sombreros de Leon de Francia?
9. ¿En qué medida se han arreglado los precios de las gorras?
10. ¿En qué medida se han arreglado los precios de los sombreros de seda sobre fienros?"
94,"¡Ay Sr. Diarista, nuestro sábio Gobierno tiene tomadas tales medidas sobre este ramo, que es menester confesar haya habido mucha desidia para hallar gente, con el tiempo, tan idiota.","¡Oh señor Diarista, nuestro sabio Gobierno ha implementado medidas muy efectivas en esta área, aunque debemos admitir que ha habido una gran falta de esfuerzo para encontrar personas tan incompetentes con el tiempo.","¡Oh señor periodista!, nuestro sabio Gobierno ha implementado medidas tan efectivas en esta área, que debemos admitir que ha habido una falta de esfuerzo para encontrar personas tan incompetentes con el tiempo.","
1. ¿Qué medidas ha tomado nuestro gobierno sobre este ramo?
2. ¿Por qué se ha ido de la naturaleza a confesar que haya habido mucha desidia para hallar gente?"
95,"Pasandose el tiempo sin Hluvia que venga, Pues si hay gran secura, y el Sol es picaño Donde hallen las aguas podrá ser muy luenga Su copia, y corriente por todo aquel año Que está ya en su punto, madura, é lozana, Y en fin, quando Agosto concluya sin daño, De Alfalfa, ó de Mielga cogerse ha la grana.","Pasando el tiempo sin lluvia que venga, porque si hay mucha sequía, y el Sol es inclemente. Donde encuentren agua podrá ser muy abundante, y fluirá por todo ese año. Está en su momento, madura y lozana, y en fin, cuando Agosto termine sin daño, se recolectará la semilla de alfalfa o de mielga.","Pasando el tiempo sin lluvia que venga, porque hay mucha sequía y el Sol es fuerte. Donde encuentren agua podrá ser muy abundante, y fluirá por todo ese año. Cuando Agosto termine sin daño, se recolectará la semilla de alfalfa o de mielga porque está madura para su recolección.","
1. ¿En qué mes se concluye sin daño la cosecha de alfalfa o mielga?
2. ¿En qué mes se concluye sin daño la cosecha de alfalfa o mielga?"
96,"Varios hechos adoptados acaso sin bastante examen, hicieron que otros fisicos de mediados del siglo quisiesen corroborar las opiniones de Bayle, y por ultimo no faltaron algunos que las defendieron como verdades fisicas.","Algunos hechos que fueron aceptados sin un análisis adecuado llevaron a otros físicos de mediados del siglo a querer confirmar las opiniones de Bayle. Finalmente, hubo algunos que las defendieron como verdades físicas.","Algunos hechos que fueron aceptados sin un análisis adecuado llevaron a otros físicos de mediados del siglo a querer confirmar las opiniones de Bayle. Finalmente, hubo algunos que las defendieron como verdades físicas.","
1. ¿Qué hechos fueron adoptados sin bastante examen que hicieron que otros físicos de mediados del siglo quisiesen corroborar las opiniones de Bayle?
2. ¿Por qué no faltaron algunos que las defendieron como verdades físicas?"
97,"Dos forlones, el uno á la Inglesa, y el otro á la Francesa con juego á la Española; se venden en la calle de las Huertas n. 2, en casa del maestro de coches.","Se venden dos tipos de forlones en la calle de las Huertas n. 2, en casa del maestro de coches. Uno es de origen inglés y el otro es de origen francés, pero ambos se pueden utilizar con juego a la española.","Se venden dos coches de caballos en la calle de las Huertas n. 2, en casa del maestro cochero. Uno es de origen inglés y el otro es de origen francés, pero ambos se pueden utilizar decorados a la española.","
1. ¿En qué lugar se venden los dos forlones, uno en inglés y el otro en francés, con juego en español?
2. ¿Qué tipo de personas son los compradores de los frutos de los saqueos franceses?"
98,"No es mul facil decidir la cuestion, aunque ella es de grande importancia; porque la falta de bellota, por exemplo, ocasiona una excesiva penuria en muchas provincias.","No es fácil tomar una decisión sobre este asunto, aunque es de gran importancia. La falta de bellotas, por ejemplo, causa mucha escasez en muchas provincias.","No es fácil tomar una decisión sobre este asunto, aunque es de gran importancia. La falta de bellotas, por ejemplo, causa mucha escasez en muchas provincias.","
1. ¿Por qué es importante decidir la cuestión, aunque sea difícil?
2. ¿Cómo puede la falta de bellota causar una excesiva penuria en muchas provincias?"
99,"Tarifas de los haberes, cargos, gratificaciones, abonos y descuentos de un regimiento de infantería de linea y ligera, con sus aumentos é innovaciones; una sucinta explicacion de quebrados y números denominados, y la reduccion de los socorros, en las que se han mejorado las de Camuñas y Alfaraz para la mas prouta y segura liquidación de los ajustes de tesorería é interiores de los cuerpos.",Simplificación del texto:,,"
1. ¿Qué es el texto sobre?
2. ¿En qué se describe en el texto?"
100,,,,"
1. ¿En qué calle se encuentra la sombrería?
2. ¿Qué tipo de sombreros y gorras se venden en la sombrería?"
